Front	Back
I pray to God every morning before working	Aku berdoa kepada Tuhan setiap pagi sebelum bekerja
Important documents are stored safely inside the vault	Dokumen penting disimpan aman di dalam brankas
Please save that item in the cupboard after using it&nbsp;&nbsp;	Tolong simpan barang itu di lemari setelah dipakai&nbsp;&nbsp;
I am sorry for being late to the meeting&nbsp;&nbsp;	Aku minta maaf karena terlambat datang ke pertemuan&nbsp;&nbsp;
I always bring a backpack when going to school&nbsp;&nbsp;	Aku selalu membawa ransel saat pergi ke sekolah&nbsp;&nbsp;
I wrote important notes with a new pencil today&nbsp;&nbsp;	Aku menulis catatan penting dengan pensil baru hari ini&nbsp;&nbsp;
I bought a bottle of red wine for the party tonight&nbsp;&nbsp;	Aku membeli sebotol anggur merah untuk pesta malam ini&nbsp;&nbsp;
I filled the bottle with mineral water before leaving&nbsp;&nbsp;	Aku mengisi botol dengan air mineral sebelum pergi&nbsp;&nbsp;
I will fill out the registration form before five o’clock&nbsp;&nbsp;	Aku akan isi formulir pendaftaran sebelum jam lima&nbsp;&nbsp;
I shaved my body hair before going to the beach&nbsp;&nbsp;	Aku mencukur bulu tubuh sebelum pergi ke pantai&nbsp;&nbsp;
I need to shave my beard before the important meeting tomorrow&nbsp;&nbsp;	Aku harus cukur jenggot sebelum rapat penting besok&nbsp;&nbsp;
The cat has soft and smooth hair&nbsp;&nbsp;	Kucing itu memiliki bulu yang lembut dan halus&nbsp;&nbsp;
I will buy a new shirt at the store tomorrow&nbsp;&nbsp;	Aku akan beli baju baru di toko besok&nbsp;&nbsp;
I have to write the report before leaving the office&nbsp;&nbsp;	Aku harus tulis laporan sebelum jam pulang kantor&nbsp;&nbsp;
I wash the dirty clothes every night before sleeping&nbsp;&nbsp;	Aku mencuci pakaian kotor setiap malam sebelum tidur&nbsp;&nbsp;
I feel fat after eating a lot of cake earlier&nbsp;&nbsp;	Aku merasa gemuk setelah makan banyak kue tadi&nbsp;&nbsp;
He looks thin because he rarely eats dinner&nbsp;&nbsp;	Dia terlihat kurus karena jarang makan malam&nbsp;&nbsp;
I don’t like people who lie about serious matters&nbsp;&nbsp;	Aku tidak suka orang yang berbohong tentang masalah serius&nbsp;&nbsp;
I study Indonesian history at school every week&nbsp;&nbsp;	Aku belajar sejarah Indonesia di sekolah setiap minggu&nbsp;&nbsp;
I want to explore the old city during the vacation&nbsp;&nbsp;	Aku ingin selajah kota tua saat liburan nanti&nbsp;&nbsp;
I wrote my friend’s name on the attendance list today&nbsp;&nbsp;	Aku menulis namur temanku di daftar hadir hari ini&nbsp;&nbsp;
The government is improving the road infrastructure in this city&nbsp;&nbsp;	Pemerintah sedang memperbaiki infrastruktur jalan di kota ini&nbsp;&nbsp;
The workers mixed cement to build a new wall 	Pekerja mencampur semen untuk membangun dinding baru&nbsp;&nbsp;
I will mix flour and sugar <span class="ͼ8">for</span> the cake&nbsp;&nbsp;	Aku akan campur tepung dan gula untuk kue&nbsp;&nbsp;
I have organized everything before the guests arrived&nbsp;&nbsp;	Aku sudah membereskan semuanya sebelum tamu datang&nbsp;&nbsp;
I have to finish this work before five o’clock&nbsp;&nbsp;	Aku harus beres pekerjaan ini sebelum jam lima&nbsp;&nbsp;
Ancient Egyptian civilization is famous for its magnificent pyramids&nbsp;&nbsp;	Peradaban kuno Mesir terkenal dengan piramida megahnya&nbsp;&nbsp;
The tourists admired the pyramids in Egypt with awe&nbsp;&nbsp;	Turis itu mengagumi piramida di Mesir dengan kagum&nbsp;&nbsp;
I felt amazed seeing the beautiful painting in the museum&nbsp;&nbsp;	Aku merasa agum melihat lukisan indah di museum&nbsp;&nbsp;
The child enjoys learning about dinosaurs at school&nbsp;&nbsp;	Anak itu senang belajar tentang dinosaurus di sekolah&nbsp;&nbsp;
I felt the warmth of the sun in the morning&nbsp;&nbsp;	Aku merasakan kehangatan matahari di pagi hari&nbsp;&nbsp;
I wrote important notes on a piece of paper&nbsp;&nbsp;	Aku menulis catatan penting di selembar kertas&nbsp;&nbsp;
I have not seen any mosquitoes in the room	Aku belum melihat nyamuk di kamar
I have seen a Komodo on that island	Aku pernah melihat komodo di pulau itu
Do dragons really exist?	Apakah naga itu benar-benar ada?
That serpent is moving on the sand	Ular itu sedang bergerak di pasir
We will pass through the swamp tomorrow morning	Kami akan melewati rawa besok pagi
Beyond that mountain, there is a small village	Di balik gunung itu, ada desa kecil
I am going through a difficult phase in life	Aku sedang melewati fase sulit dalam hidup
I didn’t dare to kiss her in public	Aku tidak berani cium dia di depan
The scent of the flowers is very strong in the garden	Aroma bunga itu sangat kuat di taman
That determination helped me finish a difficult task	Determinasi itu membantuku menyelesaikan tugas sulit
The sadness appeared after the bad news earlier	Kesedihan itu muncul setelah berita buruk tadi
The fairy appeared in the garden at dusk	Peri itu muncul di taman saat senja
The ring is adorned with a beautiful green emerald	Cincin itu dihiasi zamrud hijau indah
The flowers decorate the dining table tonight	Bunga-bunga itu menghiasi meja makan malam ini
This cloth feels soft to the touch	Kain ini terasa lembut saat disentuh
The company will import goods from Japan	Perusahaan itu akan mengimpor barang dari Jepang
He will become rich if he keeps working hard	Dia akan menjadi kaya jika terus bekerja keras
Many poor families live in that village	Banyak keluarga miskin tinggal di desa itu
Poorness makes it hard for children to go to school	Kemiskinan membuat anak-anak sulit pergi sekolah
I will follow my older sibling’s path tomorrow	Aku akan mengikuti jejak kakakku besok
My older sibling always helps me when I’m in trouble	Kakak selalu membantuku saat kesulitan
The smoke from the kitchen makes my eyes sting	Asap dari dapur membuat mata aku perih
My eyes feel sore after getting dust in them	Mataku terasa perih setelah terkena debu
The bee stung my hand yesterday afternoon	Lebah itu menyengat tanganku kemarin sore
I drank beer with friends last night	Aku minum bir bersama teman tadi malam
The clothes are dry after being hung out to dry	Baju itu sudah kering setelah dijemur
I am drying the clothes on the balcony this morning	Aku menjemur pakaian di balkon pagi ini
We relaxed on the balcony while drinking tea	Kami duduk santai di balkon sambil minum teh
I tied the item with a strong rope	Aku mengikat barang itu dengan tali kuat
I always remember the teacher’s advice from yesterday	Aku selalu mengingat nasihat guru kemarin
I remembered his face when the rain fell	Aku teringat wajahnya saat hujan turun
Your message will always be remembered by me	Pesanmu akan selalu diingat oleh aku
I copied the document to the computer	Aku menyalin dokumen itu ke komputer
I made a copy of that important document	Aku membuat salin dokumen penting itu
I will only stay one night here	Aku hanya akan inap satu malam di sini
The spider is crawling on the bedroom wall	Laba-laba itu merayap di dinding kamar
The bird flew high with wide wings	Burung itu terbang tinggi dengan sayap lebar
Hey, bro, please get me some water	Bang, tolong ambilkan aku air minum
The cat flicked its tail quickly	Kucing itu mengibaskan ekornya dengan cepat
I cut my fingernails before going to sleep	Aku memotong kuku tangan sebelum tidur
That file was duplicated several times yesterday	File itu sudah diduplikasi beberapa kali kemarin
I will duplicate this document tomorrow	Aku akan menduplikasi dokumen ini besok
He believes evil people will go to hell	Dia percaya orang jahat akan pergi ke neraka
The angel is depicted flying in the sky	Malaikat itu digambarkan terbang di langit
I am drawing a landscape in the book	Aku sedang menggambar pemandangan di buku
Please illustrate that idea clearly	Tolong gambarkan ide itu dengan jelas
The tree was drawn on the whiteboard yesterday	Pohon itu digambar di papan tulis kemarin
I opened that website in a new browser	Aku membuka situs itu di peramban baru
The city is located in the south of Java island	Kota itu terletak di selatan pulau Jawa
That hotel is already famous because of its star-rated restaurant	Hotel itu sudah terkenal karena restorannya berbintang
Have you shared the link to that article?	Apakah kamu sudah membagikan tautan artikel itu?
I always want to share knowledge with friends	Aku selalu ingin bagi ilmu dengan teman-teman
I haven’t finished writing that document for the meeting	Aku belum selesai menulis dok itu untuk rapat
I will add a new friend to this group	Aku akan tambah teman baru di grup ini
I haven’t received the latest information about that event	Aku belum mendapatkan info terbaru tentang acara itu
I will look for another solution tomorrow	Aku akan mencari solusi lain besok
This taste is not a usual combination	Rasa ini bukan gabungan yang biasa
I have never seen an ocean this vast	Aku belum pernah melihat lautan seluas ini
Is that river still flowing strongly?	Apakah sungai itu masih mengalir deras?
I should have left earlier	Aku harusnya sudah berangkat lebih awal
My internet connection has not been stable since earlier	Koneksi internetku belum stabil sejak tadi
Have you received the message?	Apakah Anda sudah menerima pesannya?
Please connect that cable to the computer	Tolong sambungkan kabel itu ke komputer
I always open the homepage every morning	Aku selalu membuka beranda setiap pagi
This book has a glossary at the end	Buku ini memiliki glosarium di akhir
That hatred will only hurt yourself	Kebencian itu hanya akan menyakiti diri sendiri
I really hate the heavy rain today	Aku benar-benar benci hujan deras hari ini
Shit, I forgot to do that assignment	Brengsek, aku lupa mengerjakan tugas itu
The child was almost drowning in the swimming pool	Anak itu hampir tenggelam di kolam renang
These instructions are very straightforward and easy to follow	Instruksi ini sangat langsung dan mudah diikuti
We must move forward even though the road is difficult	Kita harus maju meski jalannya sulit
I chose a simple house design	Aku memilih desain rumah yang sederhana
The cat is sleeping on the bare floor	Kucing itu tidur di lantai telanjang
The car is moving backward slowly	Mobil itu bergerak mundur pelan-pelan
They were stranded in the hot desert all day	Mereka terdampar di gurun panas sepanjang hari
The boat was stranded on the beach last night	Perahu itu terdampar di tepi pantai semalam
I put a cover on the open book	Aku menaruh penutup pada buku yang terbuka
He tried to force his opinion on his friend	Dia mencoba aruh pendapatnya pada teman
That news can influence many people’s decisions	Berita itu bisa mempengaruhi keputusan banyak orang
I want to live in a peaceful countryside	Aku ingin tinggal di pedesaan yang tenang
Healthcare in rural areas is often less accessible	Kesehatan di daerah pedesaan sering kurang terjangkau
That price is not easily affordable for young people	Harga itu tidak mudah jangkau oleh anak muda
I went to the tailor to sew a new suit	Aku pergi ke penjahit untuk menjahit jas baru
I am learning to sew clothes by myself at home	Aku belajar jahit baju sendiri di rumah
This ice cream has a unique chocolate flavor	Es krim ini memiliki rasa cokelat yang unik
I downloaded a new application on my phone	Aku mengunduh aplikasi baru di ponsel
My father works on the farm every morning	Ayahku bekerja di pertanian setiap pagi
The nurse took blood for a laboratory test	Perawat itu mengambil darah untuk tes laboratorium
I started to bleed after getting injured	Aku mulai mengeluarkan darah setelah terluka
Have I ever seen that giant?	Apakah aku pernah melihat raksasa itu?
I have already changed my bad habit	Aku sudah mengubah kebiasaan burukku
The cat is sleeping beneath the table	Kucing itu sedang tidur di bawah meja
Someone is waiting for me outside	Seseorang sedang menungguku di luar
I am typing a message for you	Aku sedang mengetik pesan untukmu
I want to stick that sticker on my laptop	Aku ingin menempel stiker itu di laptop
I will stick the poster on the wall	Aku akan menempel poster di dinding
I bought fresh strawberries at the market	Aku membeli stroberi segar di pasar
I am cleaning the bathroom mirror	Aku sedang membersihkan cermin kamar mandi
I want to add sugar to my coffee	Aku ingin tambah gula dalam kopiku
I need to spend less this month	Aku harus mengurangi pengeluaran bulan ini
I will increase the number of books on the shelf	Aku akan menambah jumlah buku di rak
I accidentally touched my friend’s elbow	Aku menyentuh siku temanku secara tidak sengaja
I deliberately left the keys at home	Aku sengaja meninggalkan kunci di rumah
The bird is perched on the tall tree	Burung itu bertengger di pohon tinggi
I cut my fingernails last night	Aku memotong kuku jariku tadi malam
I will travel to Europe this summer	Aku akan bepergian ke Eropa musim panas ini
I feel pain in my left arm	Aku merasakan sakit di lengan kiriku
I haven’t shaved my beard this month	Aku belum pernah mencukur jenggotku bulan ini
I felt a chill on my neck last night	Aku merasakan dingin di leherku tadi malam
We walked in the old graveyard tonight	Kami berjalan-jalan di kuburan tua malam ini
I tried to catch the ball in midair	Aku mencoba menangkap bola di udara
Watch out, there’s a car speeding	Awas, ada mobil melaju cepat
I will sit beneath that shady tree	Aku akan duduk di bawah pohon rindang itu
Please help me carry this bag	Mohon bantu aku membawa tas ini
I put my books in the new backpack	Aku menaruh buku-bukuku di ransel baru
Last night’s dinner was very delicious	Makan malam tadi malam sangat lezat sekali
This ice cream tastes really tasty	Es krim ini terasa sangat enak
I will buy lunch at the cafeteria	Aku akan membeli makan siang di kantin
We visited grandfather’s grave yesterday	Kami mengunjungi makam kakek kemarin
This is the first time I try sushi	Ini pertama kali aku mencoba sushi
I won the race for the first time	Aku memenangkan perlombaan untuk pertama kali
The children are competing on the school field	Anak-anak sedang berlomba di lapangan sekolah
He arrived in second place in the race	Dia tiba di tempat kedua dalam lomba
The plant died from lack of water	Tanaman itu mati karena kekurangan air
My boyfriend is waiting for me at the café	Pacarku sedang menungguku di kafe
I want to take my partner for an evening walk	Aku ingin mengajak pacar jalan sore ini
I heard the sound of wood creaking while walking at night	Aku mendengar getak kayu saat berjalan malam
The lion is lying in the savanna	Singa itu sedang berbaring di savana
I want to lie down for a moment on the sofa	Aku ingin baring sejenak di sofa
Wait a moment, I need a short break	Tunggu sebentar, aku butuh jeda jenak
We need to pause for a moment before continuing	Kita harus jeda sebentar sebelum melanjutkan
I will keep this letter safely	Aku akan simpan surat ini dengan aman
The dog buried a bone in the yard	Anjing itu mengubur tulang di halaman
The finger started to bleed after getting cut	Jari itu mulai berdarah setelah teriris
I am slicing an apple for breakfast	Aku mengiris apel untuk sarapan pagi
I put pineapple slices on the pizza	Aku menaruh potongan nanas di pizza
The army is training on the field	Tentara itu sedang berlatih di lapangan
Be careful, the floor here is very slippery	Hati-hati, lantai di sini sangat licin
The plant grows well in this soil	Tanaman itu tumbuh subur di tanah ini
This land is very fertile for growing vegetables	Lahan ini sangat subur untuk menanam sayur
I bought fresh vegetables at the morning market	Aku membeli sayuran segar di pasar pagi
The shop sells fresh fruits every day	Toko itu menjual buah-buahan segar setiap hari
I drank coconut water at the beach	Aku minum air kelapa di pantai
The cat is chasing its own tail in the living room	Kucing itu mengejar ekor sendiri di ruang tamu
I pinned the brooch on my new jacket	Aku menyematkan bros di jaket baruku
I will attach that label to the box	Aku akan sematkan label itu di kotak
I am wearing a new belt for my pants	Aku mengenakan sabuk baru untuk celana
These shoes feel very comfortable on my feet	Sepatu ini terasa sangat genak di kakiku
The turtle is walking slowly in the garden	Kura-kura itu berjalan lambat di taman
The wolf howled in the middle of the forest at night	Serigala itu mengaum di tengah hutan malam
The tortoise is basking under the sunlight	Kura itu berjemur di bawah sinar matahari
The shark is swimming near the surface of the sea	Hiu itu berenang dekat permukaan laut
The lizard is hiding behind the rock	Kadal itu bersembunyi di balik batu
That country is famous for its beautiful scenery	Negara itu terkenal dengan pemandangan indahnya
The fungus grew on the damp bread	Jamur itu tumbuh di roti yang basah
The fruit started to rot because of the heat	Buah itu mulai membusuk karena panas
The apple rotted after being stored for a week	Apel itu dibusuk setelah seminggu disimpan
The camel walks patiently in the desert	Unta itu berjalan di gurun pasir dengan sabar
We camped in the desert for two days	Kami berkemah di gurun selama dua hari
The window is made of clear glass	Jendela itu terbuat dari kaca bening
The ring is adorned with small diamonds	Cincin itu dihiasi dengan berlian kecil
The astronomer studies stars in a distant galaxy	Astronom mempelajari bintang di galaksi jauh
The astronaut is preparing to go to the space station	Astronot itu bersiap naik ke stasiun luar angkasa
The rocket soared high into space	Roket itu meluncur tinggi ke angkasa
Water from the spring started to sprout this morning	Air dari mata air itu mulai muncur pagi ini
I wear glasses when reading a book	Aku memakai kacamata saat membaca buku
I am cutting carrots for tonight’s soup	Aku memotong wortel untuk sup malam ini
I added lettuce to the sandwich	Aku menambahkan selada ke dalam sandwich
I made a fresh vegetable salad for lunch	Aku membuat salad sayuran segar untuk makan siang
I like to cook Italian food at home	Aku suka memasak makanan Italia di rumah
I feel pain in my molar tooth	Aku merasakan sakit di untu gerahamku
The camel drinks water from an oasis in the desert	Unta itu minum air dari oase di gurun
The dog started to bite its bone quickly	Anjing itu mulai menggigit tulangnya dengan cepat
I enjoyed eating that chocolate cake earlier	Aku sarap makan kue cokelat itu tadi
The queen wore her golden crown at the party	Ratu itu memakai mahkota emasnya di pesta
The ring is made of pure gold	Cincin itu terbuat dari emas murni
The sound of the piano is pure without interference	Suara pianonya terdengar murni tanpa gangguan
His intention was pure when helping the neighbor	Niatnya murni saat membantu tetangga itu
This olive oil is pure and high quality	Minyak zaitun ini murni dan berkualitas tinggi
The cheese has a pure and natural taste	Keju itu memiliki rasa murni dan alami
I have the good intention of helping that friend	Aku punya niat baik membantu teman itu
I picked olives directly from the tree	Aku memetik zaitun langsung dari pohonnya
I cooked instant noodles for dinner	Aku memasak mie instan untuk makan malam
This instant coffee is easy to brew anytime	Kopi instan ini mudah diseduh kapan saja
I will brew green tea this afternoon	Aku akan seduh teh hijau sore ini
The alpha leads the group of animals in the forest	Alpha itu memimpin kelompok hewan di hutan
The group of students is discussing in the classroom	Kelompok siswa itu sedang berdiskusi di kelas
We held a discussion about the new project	Kami mengadakan diskusi tentang proyek baru
The owl flies at night looking for food	Gadak itu terbang di malam hari mencari makanan
The flower is purple in the garden	Bunga itu berwarna ungu di taman
The sky looked gray before the rain fell	Langit terlihat abu-abu sebelum hujan turun
The komodo walks slowly on the deserted island	Komodo itu berjalan lambat di pulau sepi
I feel the heat under the midday sun	Aku merasa kepanasan di bawah matahari siang
The truck is transporting goods to the market this morning	Truk itu mengangkut barang ke pasar pagi ini
The goods will be transported to the warehouse this afternoon	Barang itu akan digangkut ke gudang sore ini
The workers are arranging boxes inside the warehouse	Pekerja menata kotak di dalam gudang
The car tire got a flat during the long trip	Ban mobil itu bocor saat perjalanan jauh
Lightning struck a tree in the yard last night	Petir menyambar pohon di halaman malam tadi
I am cooking potatoes for dinner	Aku menanak kentang untuk lauk makan malam
The fried fish is the family's favorite side dish	Ikan goreng itu menjadi lauk favorit keluarga&nbsp;&nbsp;
Fried tempeh is a simple side dish at home	Tempe goreng menjadi lauk sederhana di rumah
The side dish is cooked with traditional local spices	Lauk itu dimasak dengan bumbu khas daerah
We prepared various side dishes for the family party	Kami menyiapkan berbagai lauk untuk pesta keluarga
Salted fish is often served as a morning side dish	Ikan asin sering dijadikan lauk di pagi hari
The president will give a speech on television tonight	Presiden akan memberikan pidato di televisi malam ini
He prepared a speech for the school event tomorrow	Dia mempersiapkan pidato untuk acara sekolah besok
I followed the teacher’s instructions carefully	Aku mengikuti instruksi guru dengan teliti
I no longer talk to my ex-boyfriend	Aku tidak lagi berbicara dengan mantan pacarku
The defense minister attended the national defense strategy meeting	Menhan menghadiri rapat strategi pertahanan nasional
The soldiers are strengthening the defense at the border	Tentara itu memperkuat pertahanan di perbatasan
He earned a bachelor’s degree from a prestigious university	Dia memperoleh gelar sarjana dari universitas ternama
This university is famous for its quality of education	Universitas ini ternama karena kualitas pendidikannya
The film is famous because of its unique story	Film itu ternama karena ceritanya yang unik
The famous author just released a new book	Penulis ternama itu baru meluncurkan buku baru
I want to obtain work experience abroad	Aku ingin memperoleh pengalaman kerja di luar negeri
The government distributed basic necessities to flood-affected residents	Pemerintah membagikan sembako kepada warga terdampak banjir
The village residents are friendly and help each other	Warga desa itu ramah dan saling menolong
Please help carry this bag to the upstairs room	Tolong bawakan tas ini ke kamar atas
I took a photo at Monas during my Jakarta vacation	Aku berfoto di Monas saat liburan Jakarta
The teacher gave a lecture about the importance of discipline	Guru itu memberi ceramah tentang pentingnya disiplin
The lamp is made of sparkling crystal	Lampu itu terbuat dari kristal yang berkilau
The ring sparkles under the light	Cincin itu memancarkan kilau di bawah cahaya
The lemon tastes very sour on the tongue	Buah lemon itu terasa sangat asam di lidah
I licked the candy with my tongue	Aku menjilat permen itu dengan lidah
He held back his tongue to avoid speaking	Dia menahan lidahnya agar tidak berbicara
The tongue can distinguish sweet and bitter tastes	Lidah bisa membedakan rasa manis dan pahit
They try to distinguish between fact and opinion	Mereka berusaha membedakan fakta dan opini
Success requires effort and patience	Kesuksesan itu membutuhkan usaha dan kesabaran
He celebrated the success of the company's big project	Dia merayakan kesuksesan proyek besar perusahaan
Success is not always measured by money alone	Kesuksesan tidak selalu diukur dari uang semata
The parents are proud of their child's success	Orang tua bangga atas kesuksesan anaknya
Academic success requires discipline and focus	Kesuksesan akademik membutuhkan disiplin dan fokus
The student's academic achievement is very impressive	Prestasi akademik siswa itu sangat mengesankan
We discussed academic issues at the university yesterday	Kami membahas isu akademik di universitas kemarin
This scholarship is awarded based on academic ability	Beasiswa ini diberikan berdasarkan kemampuan akademik
The team excelled in yesterday's soccer match	Tim itu unggul dalam pertandingan sepak bola kemarin
I want to mention your name in the speech later	Aku ingin menyebut namamu dalam pidato nanti
He won the card game with an ace	Dia memenangkan permainan kartu dengan satu as
The war lasted for years in that country	Perang itu berlangsung selama bertahun-tahun di negara itu
Please display the latest data on the main screen	Tolong tampilkan data terbaru di layar utama
The police arrested the perpetrator of the crime last night	Polisi menangkap pelaku kejahatan kemarin malam
The soldiers defused the bomb found on the street	Tentara menjinakkan bom yang ditemukan di jalan
Aku merasakan cinta yang tulus untuk keluargaku	The soldiers defused the bomb found on the street
The argument ended with an apology	Pertengkaran itu berujung pada permintaan maaf
You must hold the end of the rope tightly	Kamu harus memegang ujung tali dengan kuat
I wiped my hands with a napkin after eating	Aku mengelap tangan dengan serbet setelah makan
The cement was poured into the building mold	Semen itu dicor ke dalam cetakan bangunan
The cake batter was poured into a small mold	Adonan kue dituangkan ke dalam cetakan kecil
The conflict in Yemen has lasted for years	Konflik di Yaman telah berlangsung bertahun-tahun
