Front	Back
That song is being played on the radio now	Lagu itu sedang diputar di radio sekarang
That moment feels very meaningful to me	Momen itu terasa sangat berarti bagiku
Throughout today I did not feel tired	Sepanjang hari ini aku tidak merasa lelah
I did not recognize his voice on the phone earlier	Aku tidak mengenali suaranya di telepon tadi
This order has not been sent until now	Pesanan ini belum dikirim sampai sekarang
Does that gift truly mean something to you?	Apakah hadiah itu benar-benar berarti bagimu?
I need time to think about this	Aku butuh waktu untuk memikirkan ini
You do not need to worry about that	Kamu tidak perlu khawatir tentang hal itu
Will we continue this discussion tomorrow?	Apakah kita akan lanjut diskusi ini besok?
His condition has not improved since last night	Kondisinya belum membaik sejak kemarin malam
That treatment is not suitable for my skin	Perawatan itu tidak cocok untuk kulitku
The quality of this product will improve next year	Kualitas produk ini akan meningkat tahun depan
My skin has not fully recovered after that wound	Kulitku belum pulih sepenuhnya setelah luka itu
He will recover faster with enough rest	Dia akan pulih lebih cepat dengan istirahat cukup
That wound has not healed even though it has been treated	Luka itu belum sembuh meskipun sudah dirawat
I have not fully recovered from that flu	Aku belum sembuh sepenuhnya dari flu itu
That patient is being treated in the hospital now	Pasien itu sedang dirawat di rumah sakit sekarang
I must rest so I recover quickly	Aku harus istirahat agar cepat pulih
He has not left the hospital since the surgery	Dia belum keluar dari rumah sakit sejak operasi
That surgery did not go smoothly yesterday	Operasi itu tidak berjalan lancar kemarin
I did not answer that call earlier	Aku tidak menjawab panggilan itu tadi
Your privacy must always be properly protected	Privasi kamu harus tetap dijaga dengan baik
The situation is not as chaotic as it appears	Situasinya tidak terlalu kacau seperti yang terlihat
Will this situation improve in the near future?	Apakah situasi ini akan membaik dalam waktu dekat?
The result will appear better tomorrow	Hasilnya akan terlihat lebih baik besok
I am already tired from working all day	Aku sudah capek bekerja seharian ini
That boy is not very tall compared to his friend	Cowok itu tidak terlalu tinggi dibanding temannya
Has that girl already left from here?	Apakah cewek itu sudah pergi dari sini?
His condition slowly improves after taking medicine	Kondisinya perlahan membaik setelah minum obat
This price is cheaper compared to the shop next door	Harga ini lebih murah dibanding toko sebelah
That leaf has not fallen from the old tree	Daun itu belum jatuh dari pohon tua
Will that tree grow bigger?	Apakah pohon itu akan tumbuh lebih besar?
That shop is next to my house now	Toko itu berada di sebelah rumahku sekarang
I do not want to split that wood alone	Aku tidak mau belah kayu itu sendirian
That wood has already been cut into several pieces	Kayu itu sudah dipotong menjadi beberapa bagian
This part is not included in the original plan	Bagian ini tidak termasuk dalam rencana awal
The beginning of that story is not very interesting to me	Awal cerita itu tidak terlalu menarik bagiku
I want a massage after working all day	Aku ingin pijat setelah kerja seharian ini
That additional fee will be calculated later	Biaya tambahan itu akan dihitung nanti
I have not paid the vehicle tax this year	Aku belum membayar pajak kendaraan tahun ini
The total cost has already been calculated since yesterday	Total biayanya sudah dihitung sejak kemarin
That vehicle is not allowed to park here	Kendaraan itu tidak boleh parkir di sini
I do not want to repeat past mistakes again	Aku tidak ingin mengulang kesalahan lampau lagi
He will not repeat the same mistake	Dia tidak akan mengulang kesalahan yang sama
Is there a possibility we meet again?	Apakah ada kemungkinan kita bertemu lagi?
Today I do not have time to rest	Hari ini aku tidak punya waktu istirahat
How did you manage to solve that problem?	Gimana kamu bisa menyelesaikan masalah itu?
That man does not work here anymore	Pria itu tidak bekerja di sini lagi
I don't want to join either	Aku tidak mau ikut pula
I am already tired, besides it’s raining heavily	Aku sudah lelah, lagipula hujan deras
Will you come immediately?	Apakah kamu akan datang segera?
He is not yet brave to speak honestly	Dia belum berani bicara jujur
I am working hard now	Aku sedang bekerja keras kini
I am not yet fluent speaking Japanese	Aku belum fasih berbicara Jepang
He will speak Indonesian fluently	Dia akan berbahasa Indonesia dengan lancar
Is your explanation concise enough?	Apakah penjelasanmu cukup singkat?
I am trying a new variation of the recipe	Aku sedang mencoba variasi baru resep
I have never tried that recipe	Aku belum pernah mencoba resep itu
I will live in this house	Aku akan tinggal dalam rumah ini
Yesterday I made a chocolate cake myself	Kemarin aku bikin kue cokelat sendiri
I do not like cakes that are too sweet	Aku tidak suka kue terlalu manis
Can you give another example?	Bisakah kamu memberi contoh lain?
He is increasingly quick at understanding lessons	Dia makin cepat memahami pelajaran
I do not yet understand today’s lesson	Aku belum mengerti pelajaran hari ini
His speech has been smooth since childhood	Bahasanya sudah lancar sejak kecil
There is still a little time remaining before departure	Masih tersisa sedikit waktu sebelum berangkat
Your understanding of that topic is getting deeper	Pemahamanmu tentang topik itu makin dalam
He has not yet entered the participant list	Dia belum masuk dalam daftar peserta
The participants will gather tomorrow morning	Para peserta akan berkumpul besok pagi
My name is not on that list	Namaku tidak ada dalam daftar itu
We are gathering in the park this afternoon	Kami sedang berkumpul di taman sore ini
I will obtain that ticket later	Aku akan dapatkan tiket itu nanti
Have they already bought enough cement?	Apakah mereka sudah membeli semen cukup?
The doctor examines semen in the laboratory	Dokter memeriksa air mani di laboratorium
I will work in a new laboratory	Aku akan bekerja di laboratorium baru
Why is there a hole in that wall?	Mengapa ada lubang di dinding itu?
I do not yet understand the function of that affix	Aku belum memahami fungsi imbuhan itu
This is the reason I chose this path	Inilah alasan aku memilih jalan ini
He does not use reason when angry	Dia tidak memakai akal saat marah
Your exam score has not come out today	Nilai ujianmu belum keluar hari ini
