Front	Back
Aku berdoa kepada Tuhan setiap pagi sebelum bekerja	I pray to God every morning before working
Dokumen penting disimpan aman di dalam brankas	Important documents are stored safely inside the vault
Tolong simpan barang itu di lemari setelah dipakai&nbsp;&nbsp;	Please save that item in the cupboard after using it&nbsp;&nbsp;
Aku minta maaf karena terlambat datang ke pertemuan&nbsp;&nbsp;	I am sorry for being late to the meeting&nbsp;&nbsp;
Aku selalu membawa ransel saat pergi ke sekolah&nbsp;&nbsp;	I always bring a backpack when going to school&nbsp;&nbsp;
Aku menulis catatan penting dengan pensil baru hari ini&nbsp;&nbsp;	I wrote important notes with a new pencil today&nbsp;&nbsp;
Aku membeli sebotol anggur merah untuk pesta malam ini&nbsp;&nbsp;	I bought a bottle of red wine for the party tonight&nbsp;&nbsp;
Aku mengisi botol dengan air mineral sebelum pergi&nbsp;&nbsp;	I filled the bottle with mineral water before leaving&nbsp;&nbsp;
Aku akan isi formulir pendaftaran sebelum jam lima&nbsp;&nbsp;	I will fill out the registration form before five o’clock&nbsp;&nbsp;
Aku mencukur bulu tubuh sebelum pergi ke pantai&nbsp;&nbsp;	I shaved my body hair before going to the beach&nbsp;&nbsp;
Aku harus cukur jenggot sebelum rapat penting besok&nbsp;&nbsp;	I need to shave my beard before the important meeting tomorrow&nbsp;&nbsp;
Kucing itu memiliki bulu yang lembut dan halus&nbsp;&nbsp;	The cat has soft and smooth hair&nbsp;&nbsp;
Aku akan beli baju baru di toko besok&nbsp;&nbsp;	I will buy a new shirt at the store tomorrow&nbsp;&nbsp;
Aku harus tulis laporan sebelum jam pulang kantor&nbsp;&nbsp;	I have to write the report before leaving the office&nbsp;&nbsp;
Aku mencuci pakaian kotor setiap malam sebelum tidur&nbsp;&nbsp;	I wash the dirty clothes every night before sleeping&nbsp;&nbsp;
Aku merasa gemuk setelah makan banyak kue tadi&nbsp;&nbsp;	I feel fat after eating a lot of cake earlier&nbsp;&nbsp;
Dia terlihat kurus karena jarang makan malam&nbsp;&nbsp;	He looks thin because he rarely eats dinner&nbsp;&nbsp;
Aku tidak suka orang yang berbohong tentang masalah serius&nbsp;&nbsp;	I don’t like people who lie about serious matters&nbsp;&nbsp;
Aku belajar sejarah Indonesia di sekolah setiap minggu&nbsp;&nbsp;	I study Indonesian history at school every week&nbsp;&nbsp;
Aku ingin selajah kota tua saat liburan nanti&nbsp;&nbsp;	I want to explore the old city during the vacation&nbsp;&nbsp;
Aku menulis namur temanku di daftar hadir hari ini&nbsp;&nbsp;	I wrote my friend’s name on the attendance list today&nbsp;&nbsp;
Pemerintah sedang memperbaiki infrastruktur jalan di kota ini&nbsp;&nbsp;	The government is improving the road infrastructure in this city&nbsp;&nbsp;
Pekerja mencampur semen untuk membangun dinding baru&nbsp;&nbsp;	The workers mixed cement to build a new wall 
Aku akan campur tepung dan gula untuk kue&nbsp;&nbsp;	I will mix flour and sugar <span class="ͼ8">for</span> the cake&nbsp;&nbsp;
Aku sudah membereskan semuanya sebelum tamu datang&nbsp;&nbsp;	I have organized everything before the guests arrived&nbsp;&nbsp;
Aku harus beres pekerjaan ini sebelum jam lima&nbsp;&nbsp;	I have to finish this work before five o’clock&nbsp;&nbsp;
Peradaban kuno Mesir terkenal dengan piramida megahnya&nbsp;&nbsp;	Ancient Egyptian civilization is famous for its magnificent pyramids&nbsp;&nbsp;
Turis itu mengagumi piramida di Mesir dengan kagum&nbsp;&nbsp;	The tourists admired the pyramids in Egypt with awe&nbsp;&nbsp;
Aku merasa agum melihat lukisan indah di museum&nbsp;&nbsp;	I felt amazed seeing the beautiful painting in the museum&nbsp;&nbsp;
Anak itu senang belajar tentang dinosaurus di sekolah&nbsp;&nbsp;	The child enjoys learning about dinosaurs at school&nbsp;&nbsp;
Aku merasakan kehangatan matahari di pagi hari&nbsp;&nbsp;	I felt the warmth of the sun in the morning&nbsp;&nbsp;
Aku menulis catatan penting di selembar kertas&nbsp;&nbsp;	I wrote important notes on a piece of paper&nbsp;&nbsp;
Aku belum melihat nyamuk di kamar	I have not seen any mosquitoes in the room
Aku pernah melihat komodo di pulau itu	I have seen a Komodo on that island
Apakah naga itu benar-benar ada?	Do dragons really exist?
Ular itu sedang bergerak di pasir	That serpent is moving on the sand
Kami akan melewati rawa besok pagi	We will pass through the swamp tomorrow morning
Di balik gunung itu, ada desa kecil	Beyond that mountain, there is a small village
Aku sedang melewati fase sulit dalam hidup	I am going through a difficult phase in life
Aku tidak berani cium dia di depan	I didn’t dare to kiss her in public
Aroma bunga itu sangat kuat di taman	The scent of the flowers is very strong in the garden
Determinasi itu membantuku menyelesaikan tugas sulit	That determination helped me finish a difficult task
Kesedihan itu muncul setelah berita buruk tadi	The sadness appeared after the bad news earlier
Peri itu muncul di taman saat senja	The fairy appeared in the garden at dusk
Cincin itu dihiasi zamrud hijau indah	The ring is adorned with a beautiful green emerald
Bunga-bunga itu menghiasi meja makan malam ini	The flowers decorate the dining table tonight
Kain ini terasa lembut saat disentuh	This cloth feels soft to the touch
Perusahaan itu akan mengimpor barang dari Jepang	The company will import goods from Japan
Dia akan menjadi kaya jika terus bekerja keras	He will become rich if he keeps working hard
Banyak keluarga miskin tinggal di desa itu	Many poor families live in that village
Kemiskinan membuat anak-anak sulit pergi sekolah	Poorness makes it hard for children to go to school
Aku akan mengikuti jejak kakakku besok	I will follow my older sibling’s path tomorrow
Kakak selalu membantuku saat kesulitan	My older sibling always helps me when I’m in trouble
Asap dari dapur membuat mata aku perih	The smoke from the kitchen makes my eyes sting
Mataku terasa perih setelah terkena debu	My eyes feel sore after getting dust in them
Lebah itu menyengat tanganku kemarin sore	The bee stung my hand yesterday afternoon
Aku minum bir bersama teman tadi malam	I drank beer with friends last night
Baju itu sudah kering setelah dijemur	The clothes are dry after being hung out to dry
Aku menjemur pakaian di balkon pagi ini	I am drying the clothes on the balcony this morning
Kami duduk santai di balkon sambil minum teh	We relaxed on the balcony while drinking tea
Aku mengikat barang itu dengan tali kuat	I tied the item with a strong rope
Aku selalu mengingat nasihat guru kemarin	I always remember the teacher’s advice from yesterday
Aku teringat wajahnya saat hujan turun	I remembered his face when the rain fell
Pesanmu akan selalu diingat oleh aku	Your message will always be remembered by me
Aku menyalin dokumen itu ke komputer	I copied the document to the computer
Aku membuat salin dokumen penting itu	I made a copy of that important document
Aku hanya akan inap satu malam di sini	I will only stay one night here
Laba-laba itu merayap di dinding kamar	The spider is crawling on the bedroom wall
Burung itu terbang tinggi dengan sayap lebar	The bird flew high with wide wings
Bang, tolong ambilkan aku air minum	Hey, bro, please get me some water
Kucing itu mengibaskan ekornya dengan cepat	The cat flicked its tail quickly
Aku memotong kuku tangan sebelum tidur	I cut my fingernails before going to sleep
File itu sudah diduplikasi beberapa kali kemarin	That file was duplicated several times yesterday
Aku akan menduplikasi dokumen ini besok	I will duplicate this document tomorrow
Dia percaya orang jahat akan pergi ke neraka	He believes evil people will go to hell
Malaikat itu digambarkan terbang di langit	The angel is depicted flying in the sky
Aku sedang menggambar pemandangan di buku	I am drawing a landscape in the book
Tolong gambarkan ide itu dengan jelas	Please illustrate that idea clearly
Pohon itu digambar di papan tulis kemarin	The tree was drawn on the whiteboard yesterday
Aku membuka situs itu di peramban baru	I opened that website in a new browser
Kota itu terletak di selatan pulau Jawa	The city is located in the south of Java island
Hotel itu sudah terkenal karena restorannya berbintang	That hotel is already famous because of its star-rated restaurant
Apakah kamu sudah membagikan tautan artikel itu?	Have you shared the link to that article?
Aku selalu ingin bagi ilmu dengan teman-teman	I always want to share knowledge with friends
Aku belum selesai menulis dok itu untuk rapat	I haven’t finished writing that document for the meeting
Aku akan tambah teman baru di grup ini	I will add a new friend to this group
Aku belum mendapatkan info terbaru tentang acara itu	I haven’t received the latest information about that event
Aku akan mencari solusi lain besok	I will look for another solution tomorrow
Rasa ini bukan gabungan yang biasa	This taste is not a usual combination
Aku belum pernah melihat lautan seluas ini	I have never seen an ocean this vast
Apakah sungai itu masih mengalir deras?	Is that river still flowing strongly?
Aku harusnya sudah berangkat lebih awal	I should have left earlier
Koneksi internetku belum stabil sejak tadi	My internet connection has not been stable since earlier
Apakah Anda sudah menerima pesannya?	Have you received the message?
Tolong sambungkan kabel itu ke komputer	Please connect that cable to the computer
Aku selalu membuka beranda setiap pagi	I always open the homepage every morning
Buku ini memiliki glosarium di akhir	This book has a glossary at the end
Kebencian itu hanya akan menyakiti diri sendiri	That hatred will only hurt yourself
Aku benar-benar benci hujan deras hari ini	I really hate the heavy rain today
Brengsek, aku lupa mengerjakan tugas itu	Shit, I forgot to do that assignment
Anak itu hampir tenggelam di kolam renang	The child was almost drowning in the swimming pool
Instruksi ini sangat langsung dan mudah diikuti	These instructions are very straightforward and easy to follow
Kita harus maju meski jalannya sulit	We must move forward even though the road is difficult
Aku memilih desain rumah yang sederhana	I chose a simple house design
Kucing itu tidur di lantai telanjang	The cat is sleeping on the bare floor
Mobil itu bergerak mundur pelan-pelan	The car is moving backward slowly
Mereka terdampar di gurun panas sepanjang hari	They were stranded in the hot desert all day
Perahu itu terdampar di tepi pantai semalam	The boat was stranded on the beach last night
Aku menaruh penutup pada buku yang terbuka	I put a cover on the open book
Dia mencoba aruh pendapatnya pada teman	He tried to force his opinion on his friend
Berita itu bisa mempengaruhi keputusan banyak orang	That news can influence many people’s decisions
Aku ingin tinggal di pedesaan yang tenang	I want to live in a peaceful countryside
Kesehatan di daerah pedesaan sering kurang terjangkau	Healthcare in rural areas is often less accessible
Harga itu tidak mudah jangkau oleh anak muda	That price is not easily affordable for young people
Aku pergi ke penjahit untuk menjahit jas baru	I went to the tailor to sew a new suit
Aku belajar jahit baju sendiri di rumah	I am learning to sew clothes by myself at home
Es krim ini memiliki rasa cokelat yang unik	This ice cream has a unique chocolate flavor
Aku mengunduh aplikasi baru di ponsel	I downloaded a new application on my phone
Ayahku bekerja di pertanian setiap pagi	My father works on the farm every morning
Perawat itu mengambil darah untuk tes laboratorium	The nurse took blood for a laboratory test
Aku mulai mengeluarkan darah setelah terluka	I started to bleed after getting injured
Apakah aku pernah melihat raksasa itu?	Have I ever seen that giant?
Aku sudah mengubah kebiasaan burukku	I have already changed my bad habit
Kucing itu sedang tidur di bawah meja	The cat is sleeping beneath the table
Seseorang sedang menungguku di luar	Someone is waiting for me outside
Aku sedang mengetik pesan untukmu	I am typing a message for you
Aku ingin menempel stiker itu di laptop	I want to stick that sticker on my laptop
Aku akan menempel poster di dinding	I will stick the poster on the wall
Aku membeli stroberi segar di pasar	I bought fresh strawberries at the market
Aku sedang membersihkan cermin kamar mandi	I am cleaning the bathroom mirror
Aku ingin tambah gula dalam kopiku	I want to add sugar to my coffee
Aku harus mengurangi pengeluaran bulan ini	I need to spend less this month
Aku akan menambah jumlah buku di rak	I will increase the number of books on the shelf
Aku menyentuh siku temanku secara tidak sengaja	I accidentally touched my friend’s elbow
Aku sengaja meninggalkan kunci di rumah	I deliberately left the keys at home
Burung itu bertengger di pohon tinggi	The bird is perched on the tall tree
Aku memotong kuku jariku tadi malam	I cut my fingernails last night
Aku akan bepergian ke Eropa musim panas ini	I will travel to Europe this summer
Aku merasakan sakit di lengan kiriku	I feel pain in my left arm
Aku belum pernah mencukur jenggotku bulan ini	I haven’t shaved my beard this month
Aku merasakan dingin di leherku tadi malam	I felt a chill on my neck last night
Kami berjalan-jalan di kuburan tua malam ini	We walked in the old graveyard tonight
Aku mencoba menangkap bola di udara	I tried to catch the ball in midair
Awas, ada mobil melaju cepat	Watch out, there’s a car speeding
Aku akan duduk di bawah pohon rindang itu	I will sit beneath that shady tree
Mohon bantu aku membawa tas ini	Please help me carry this bag
Aku menaruh buku-bukuku di ransel baru	I put my books in the new backpack
Makan malam tadi malam sangat lezat sekali	Last night’s dinner was very delicious
Es krim ini terasa sangat enak	This ice cream tastes really tasty
Aku akan membeli makan siang di kantin	I will buy lunch at the cafeteria
Kami mengunjungi makam kakek kemarin	We visited grandfather’s grave yesterday
Ini pertama kali aku mencoba sushi	This is the first time I try sushi
Aku memenangkan perlombaan untuk pertama kali	I won the race for the first time
Anak-anak sedang berlomba di lapangan sekolah	The children are competing on the school field
Dia tiba di tempat kedua dalam lomba	He arrived in second place in the race
Tanaman itu mati karena kekurangan air	The plant died from lack of water
Pacarku sedang menungguku di kafe	My boyfriend is waiting for me at the café
Aku ingin mengajak pacar jalan sore ini	I want to take my partner for an evening walk
Aku mendengar getak kayu saat berjalan malam	I heard the sound of wood creaking while walking at night
Singa itu sedang berbaring di savana	The lion is lying in the savanna
Aku ingin baring sejenak di sofa	I want to lie down for a moment on the sofa
Tunggu sebentar, aku butuh jeda jenak	Wait a moment, I need a short break
Kita harus jeda sebentar sebelum melanjutkan	We need to pause for a moment before continuing
Aku akan simpan surat ini dengan aman	I will keep this letter safely
Anjing itu mengubur tulang di halaman	The dog buried a bone in the yard
Jari itu mulai berdarah setelah teriris	The finger started to bleed after getting cut
Aku mengiris apel untuk sarapan pagi	I am slicing an apple for breakfast
Aku menaruh potongan nanas di pizza	I put pineapple slices on the pizza
Tentara itu sedang berlatih di lapangan	The army is training on the field
Hati-hati, lantai di sini sangat licin	Be careful, the floor here is very slippery
Tanaman itu tumbuh subur di tanah ini	The plant grows well in this soil
Lahan ini sangat subur untuk menanam sayur	This land is very fertile for growing vegetables
Aku membeli sayuran segar di pasar pagi	I bought fresh vegetables at the morning market
Toko itu menjual buah-buahan segar setiap hari	The shop sells fresh fruits every day
Aku minum air kelapa di pantai	I drank coconut water at the beach
Kucing itu mengejar ekor sendiri di ruang tamu	The cat is chasing its own tail in the living room
Aku menyematkan bros di jaket baruku	I pinned the brooch on my new jacket
Aku akan sematkan label itu di kotak	I will attach that label to the box
Aku mengenakan sabuk baru untuk celana	I am wearing a new belt for my pants
Sepatu ini terasa sangat genak di kakiku	These shoes feel very comfortable on my feet
Kura-kura itu berjalan lambat di taman	The turtle is walking slowly in the garden
Serigala itu mengaum di tengah hutan malam	The wolf howled in the middle of the forest at night
Kura itu berjemur di bawah sinar matahari	The tortoise is basking under the sunlight
Hiu itu berenang dekat permukaan laut	The shark is swimming near the surface of the sea
Kadal itu bersembunyi di balik batu	The lizard is hiding behind the rock
Negara itu terkenal dengan pemandangan indahnya	That country is famous for its beautiful scenery
Jamur itu tumbuh di roti yang basah	The fungus grew on the damp bread
Buah itu mulai membusuk karena panas	The fruit started to rot because of the heat
Apel itu dibusuk setelah seminggu disimpan	The apple rotted after being stored for a week
Unta itu berjalan di gurun pasir dengan sabar	The camel walks patiently in the desert
Kami berkemah di gurun selama dua hari	We camped in the desert for two days
Jendela itu terbuat dari kaca bening	The window is made of clear glass
Cincin itu dihiasi dengan berlian kecil	The ring is adorned with small diamonds
Astronom mempelajari bintang di galaksi jauh	The astronomer studies stars in a distant galaxy
Astronot itu bersiap naik ke stasiun luar angkasa	The astronaut is preparing to go to the space station
Roket itu meluncur tinggi ke angkasa	The rocket soared high into space
Air dari mata air itu mulai muncur pagi ini	Water from the spring started to sprout this morning
Aku memakai kacamata saat membaca buku	I wear glasses when reading a book
Aku memotong wortel untuk sup malam ini	I am cutting carrots for tonight’s soup
Aku menambahkan selada ke dalam sandwich	I added lettuce to the sandwich
Aku membuat salad sayuran segar untuk makan siang	I made a fresh vegetable salad for lunch
Aku suka memasak makanan Italia di rumah	I like to cook Italian food at home
Aku merasakan sakit di untu gerahamku	I feel pain in my molar tooth
Unta itu minum air dari oase di gurun	The camel drinks water from an oasis in the desert
Anjing itu mulai menggigit tulangnya dengan cepat	The dog started to bite its bone quickly
Aku sarap makan kue cokelat itu tadi	I enjoyed eating that chocolate cake earlier
Ratu itu memakai mahkota emasnya di pesta	The queen wore her golden crown at the party
Cincin itu terbuat dari emas murni	The ring is made of pure gold
Suara pianonya terdengar murni tanpa gangguan	The sound of the piano is pure without interference
Niatnya murni saat membantu tetangga itu	His intention was pure when helping the neighbor
Minyak zaitun ini murni dan berkualitas tinggi	This olive oil is pure and high quality
Keju itu memiliki rasa murni dan alami	The cheese has a pure and natural taste
Aku punya niat baik membantu teman itu	I have the good intention of helping that friend
Aku memetik zaitun langsung dari pohonnya	I picked olives directly from the tree
Aku memasak mie instan untuk makan malam	I cooked instant noodles for dinner
Kopi instan ini mudah diseduh kapan saja	This instant coffee is easy to brew anytime
Aku akan seduh teh hijau sore ini	I will brew green tea this afternoon
Alpha itu memimpin kelompok hewan di hutan	The alpha leads the group of animals in the forest
Kelompok siswa itu sedang berdiskusi di kelas	The group of students is discussing in the classroom
Kami mengadakan diskusi tentang proyek baru	We held a discussion about the new project
Gadak itu terbang di malam hari mencari makanan	The owl flies at night looking for food
Bunga itu berwarna ungu di taman	The flower is purple in the garden
Langit terlihat abu-abu sebelum hujan turun	The sky looked gray before the rain fell
Komodo itu berjalan lambat di pulau sepi	The komodo walks slowly on the deserted island
Aku merasa kepanasan di bawah matahari siang	I feel the heat under the midday sun
Truk itu mengangkut barang ke pasar pagi ini	The truck is transporting goods to the market this morning
Barang itu akan digangkut ke gudang sore ini	The goods will be transported to the warehouse this afternoon
Pekerja menata kotak di dalam gudang	The workers are arranging boxes inside the warehouse
Ban mobil itu bocor saat perjalanan jauh	The car tire got a flat during the long trip
Petir menyambar pohon di halaman malam tadi	Lightning struck a tree in the yard last night
Aku menanak kentang untuk lauk makan malam	I am cooking potatoes for dinner
Ikan goreng itu menjadi lauk favorit keluarga&nbsp;&nbsp;	The fried fish is the family's favorite side dish
Tempe goreng menjadi lauk sederhana di rumah	Fried tempeh is a simple side dish at home
Lauk itu dimasak dengan bumbu khas daerah	The side dish is cooked with traditional local spices
Kami menyiapkan berbagai lauk untuk pesta keluarga	We prepared various side dishes for the family party
Ikan asin sering dijadikan lauk di pagi hari	Salted fish is often served as a morning side dish
Presiden akan memberikan pidato di televisi malam ini	The president will give a speech on television tonight
Dia mempersiapkan pidato untuk acara sekolah besok	He prepared a speech for the school event tomorrow
Aku mengikuti instruksi guru dengan teliti	I followed the teacher’s instructions carefully
Aku tidak lagi berbicara dengan mantan pacarku	I no longer talk to my ex-boyfriend
Menhan menghadiri rapat strategi pertahanan nasional	The defense minister attended the national defense strategy meeting
Tentara itu memperkuat pertahanan di perbatasan	The soldiers are strengthening the defense at the border
Dia memperoleh gelar sarjana dari universitas ternama	He earned a bachelor’s degree from a prestigious university
Universitas ini ternama karena kualitas pendidikannya	This university is famous for its quality of education
Film itu ternama karena ceritanya yang unik	The film is famous because of its unique story
Penulis ternama itu baru meluncurkan buku baru	The famous author just released a new book
Aku ingin memperoleh pengalaman kerja di luar negeri	I want to obtain work experience abroad
Pemerintah membagikan sembako kepada warga terdampak banjir	The government distributed basic necessities to flood-affected residents
Warga desa itu ramah dan saling menolong	The village residents are friendly and help each other
Tolong bawakan tas ini ke kamar atas	Please help carry this bag to the upstairs room
Aku berfoto di Monas saat liburan Jakarta	I took a photo at Monas during my Jakarta vacation
Guru itu memberi ceramah tentang pentingnya disiplin	The teacher gave a lecture about the importance of discipline
Lampu itu terbuat dari kristal yang berkilau	The lamp is made of sparkling crystal
Cincin itu memancarkan kilau di bawah cahaya	The ring sparkles under the light
Buah lemon itu terasa sangat asam di lidah	The lemon tastes very sour on the tongue
Aku menjilat permen itu dengan lidah	I licked the candy with my tongue
Dia menahan lidahnya agar tidak berbicara	He held back his tongue to avoid speaking
Lidah bisa membedakan rasa manis dan pahit	The tongue can distinguish sweet and bitter tastes
Mereka berusaha membedakan fakta dan opini	They try to distinguish between fact and opinion
Kesuksesan itu membutuhkan usaha dan kesabaran	Success requires effort and patience
Dia merayakan kesuksesan proyek besar perusahaan	He celebrated the success of the company's big project
Kesuksesan tidak selalu diukur dari uang semata	Success is not always measured by money alone
Orang tua bangga atas kesuksesan anaknya	The parents are proud of their child's success
Kesuksesan akademik membutuhkan disiplin dan fokus	Academic success requires discipline and focus
Prestasi akademik siswa itu sangat mengesankan	The student's academic achievement is very impressive
Kami membahas isu akademik di universitas kemarin	We discussed academic issues at the university yesterday
Beasiswa ini diberikan berdasarkan kemampuan akademik	This scholarship is awarded based on academic ability
Tim itu unggul dalam pertandingan sepak bola kemarin	The team excelled in yesterday's soccer match
Aku ingin menyebut namamu dalam pidato nanti	I want to mention your name in the speech later
Dia memenangkan permainan kartu dengan satu as	He won the card game with an ace
Perang itu berlangsung selama bertahun-tahun di negara itu	The war lasted for years in that country
Tolong tampilkan data terbaru di layar utama	Please display the latest data on the main screen
Polisi menangkap pelaku kejahatan kemarin malam	The police arrested the perpetrator of the crime last night
Tentara menjinakkan bom yang ditemukan di jalan	The soldiers defused the bomb found on the street
The soldiers defused the bomb found on the street	Aku merasakan cinta yang tulus untuk keluargaku
Pertengkaran itu berujung pada permintaan maaf	The argument ended with an apology
Kamu harus memegang ujung tali dengan kuat	You must hold the end of the rope tightly
Aku mengelap tangan dengan serbet setelah makan	I wiped my hands with a napkin after eating
Semen itu dicor ke dalam cetakan bangunan	The cement was poured into the building mold
Adonan kue dituangkan ke dalam cetakan kecil	The cake batter was poured into a small mold
Konflik di Yaman telah berlangsung bertahun-tahun	The conflict in Yemen has lasted for years
Aku belum pernah ke Afganistan	I have never been to Afghanistan
Apakah kamu akan pergi ke Albania besok?	Will you go to Albania tomorrow?
Dia tidak tinggal di Aljazair sekarang	He does not live in Algeria now
Kami sedang merencanakan liburan ke Andorra	We are currently planning a vacation to Andorra
Apakah mereka sudah tiba di Angola tadi?	Did they already arrive in Angola earlier?
Aku akan bekerja di Argentina tahun depan	I will work in Argentina next year
Kami belum pernah mengunjungi Armenia sebelumnya	We have never visited Armenia before
Dia sedang belajar di Australia sekarang	He is currently studying in Australia
Apakah dia tidak akan pindah ke Austria?	Will he not move to Austria?
Aku pernah menghadiri konferensi di Azerbaijan	I have attended a conference in Azerbaijan
Mereka akan berlibur ke Bahama musim panas ini	They will vacation in the Bahamas this summer
Aku sedang menunggu teman di Bahrain sekarang	I am currently waiting for a friend in Bahrain
Apakah kamu sudah mengirim paket ke Bangladesh?	Have you already sent the package to Bangladesh?
Kami akan mengunjungi Barbados bulan depan	We will visit Barbados next month
Dia belum pernah tinggal di Belarusia	He has never lived in Belarus
Apakah kamu sudah pernah ke Belgia sebelumnya?	Have you ever been to Belgium before?
Aku akan mengunjungi Belize saat liburan nanti	I will visit Belize during the next holiday
Mereka sedang bekerja di Benin sekarang	They are currently working in Benin
Apakah kamu pernah mendaki di Bhutan?	Have you ever gone hiking in Bhutan?
Aku belum pernah mengunjungi Bolivia sebelumnya	I have never visited Bolivia before
Mereka akan melakukan safari di Botswana tahun ini	They will go on a safari in Botswana this year
Aku sedang belajar bahasa Portugis untuk pergi ke Brasil	I am learning Portuguese to go to Brazil
Apakah dia sudah tinggal di Brunei sebelumnya?	Has he already lived in Brunei before?
Aku akan menghadiri konferensi di Bulgaria minggu depan	I will attend a conference in Bulgaria next week
Mereka belum pernah mengunjungi Burundi sebelumnya	They have never visited Burundi before
Aku sedang merencanakan perjalanan ke Kamboja bulan depan	I am planning a trip to Cambodia next month
Apakah kamu akan tinggal di Kamerun tahun ini?	Will you live in Cameroon this year?
Aku sudah bekerja di Kanada selama tiga tahun	I have been working in Canada for three years
Mereka sedang membangun proyek baru di Chad	They are building a new project in Chad
Aku akan berlibur di Chili musim panas ini	I will vacation in Chile this summer
Dia belum pernah belajar bahasa Mandarin di Cina	He has never studied Mandarin in China
Apakah kamu akan mengunjungi Kolombia bulan depan?	Will you visit Colombia next month?
Mereka sedang melakukan penelitian di Komoro sekarang	They are currently conducting research in Comoros
Aku akan berlayar di Kroasia musim panas nanti	I will sail in Croatia this coming summer
Apakah mereka sudah pernah tinggal di Kuba?	Have they ever lived in Cuba?
Aku sedang merencanakan perjalanan ke Siprus bulan depan	I am planning a trip to Cyprus next month
Apakah kamu akan belajar di Ceko tahun ini?	Will you study in Czechia this year?
Aku belum pernah mengunjungi Denmark sebelumnya	I have never visited Denmark before
Mereka akan melakukan ekspedisi ilmiah di Djibouti	They will conduct a scientific expedition in Djibouti
Aku akan berlibur di Dominika bulan depan	I will vacation in Dominica next month
Apakah dia sudah pernah tinggal di Ekuador?	Has he ever lived in Ecuador?
Mereka belum pernah mengunjungi Eritrea sebelumnya	They have never visited Eritrea before
Aku akan menghadiri konferensi di Estonia minggu depan	I will attend a conference in Estonia next week
Apakah mereka akan tinggal di Eswatini tahun ini?	Will they live in Eswatini this year?
Aku sedang merencanakan perjalanan ke Ethiopia bulan depan	I am planning a trip to Ethiopia next month
Mereka akan berlibur di Fiji musim panas ini	They will vacation in Fiji this summer
Aku belum pernah belajar di Finlandia sebelumnya	I have never studied in Finland before
Apakah kamu akan tinggal di Prancis tahun depan?	Will you live in France next year?
Mereka sedang melakukan penelitian di Gabon sekarang	They are currently conducting research in Gabon
Aku akan mengunjungi Gambia musim panas nanti	I will visit Gambia this coming summer
Apakah kamu sudah pernah tinggal di Georgia?	Have you ever lived in Georgia?
Aku sedang belajar bahasa Jerman untuk pergi ke Jerman	I am learning German to go to Germany
Mereka akan memulai proyek baru di Ghana tahun ini	They will start a new project in Ghana this year
Aku akan berlibur di Yunani musim panas nanti	I will vacation in Greece this coming summer
Apakah kamu pernah mengunjungi Guatemala sebelumnya?	Have you ever visited Guatemala before?
Mereka sedang bekerja di proyek pertanian di Guinea	They are working on an agricultural project in Guinea
Aku akan mengunjungi Guyana bulan depan	I will visit Guyana next month
Apakah mereka sudah pernah tinggal di Haiti?	Have they ever lived in Haiti?
Aku sedang merencanakan perjalanan ke Honduras bulan depan	I am planning a trip to Honduras next month
Apakah kamu akan belajar di Hungaria tahun ini?	Will you study in Hungary this year?
Aku belum pernah mengunjungi Islandia sebelumnya	I have never visited Iceland before
Dia sedang belajar bahasa Hindi di India sekarang	He is currently learning Hindi in India
Apakah kamu akan bekerja di Iran tahun depan?	Will you work in Iran next year?
Aku sedang mempelajari sejarah Nusantara sekarang	I am currently studying the history of the Nusantara
Mereka akan membangun sekolah baru di Irak	They will build a new school in Iraq
Apakah kamu sudah pernah tinggal di Irlandia sebelumnya?	Have you ever lived in Ireland before?
Aku sedang merencanakan perjalanan ke Israel bulan depan	I am planning a trip to Israel next month
Mereka akan berlibur di Jamaika musim panas ini	They will vacation in Jamaica this summer
Apakah kamu akan mengunjungi Yordania tahun ini?	Will you visit Jordan this year?
Aku belum pernah menghadiri konferensi di Kazakhstan	I have never attended a conference in Kazakhstan
Mereka sedang melakukan safari di Kenya sekarang	They are currently going on a safari in Kenya
Aku akan mengunjungi Kiribati saat liburan nanti	I will visit Kiribati during the next holiday
Apakah dia sudah bekerja di Kuwait sebelumnya?	Has he already worked in Kuwait before?
Aku sedang merencanakan perjalanan ke Kirgizstan bulan depan	I am planning a trip to Kyrgyzstan next month
Mereka akan belajar budaya di Laos tahun ini	They will study culture in Laos this year
Aku belum pernah mengunjungi Latvia sebelumnya	I have never visited Latvia before
Apakah kamu akan tinggal di Lebanon tahun depan?	Will you live in Lebanon next year?
Aku sedang merencanakan perjalanan ke Lesotho bulan depan	I am planning a trip to Lesotho next month
Mereka belum pernah mengunjungi Liberia sebelumnya	They have never visited Liberia before
Apakah kamu sudah pernah tinggal di Libya sebelumnya?	Have you ever lived in Libya before?
Aku akan mengunjungi Liechtenstein musim panas nanti	I will visit Liechtenstein this coming summer
Mereka sedang belajar sejarah Lituania sekarang	They are currently studying the history of Lithuania
Apakah kamu akan bekerja di Luksemburg tahun ini?	Will you work in Luxembourg this year?
Aku sedang merencanakan perjalanan ke Madagaskar bulan depan	I am planning a trip to Madagascar next month
Mereka akan memulai proyek baru di Malawi tahun ini	They will start a new project in Malawi this year
Aku akan berlibur di Malaysia musim panas nanti	I will vacation in Malaysia this coming summer
Apakah mereka sudah pernah tinggal di Mali sebelumnya?	Have they ever lived in Mali before?
